"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"029","","person","illustrator","Gifford, Kevin, translator [person] ; Hiiragi, Akio, artist [person] ; 029, illustrator [person] ; Blakeslee, Brndn [person] ; Wagahara, Satoshi, author [person]","019368673","Monograph","Language material ; Still image ; Text","Volume","GBC021508","9781975301828","The devil is a part-timer!. 12","Hataraku Maousama! (Graphic novel). English","","","United States of America","New York","","2018","First Yen Press edition","168 pages, illustrations (black and white and colour), 19 cm","741.5952","YKL.2020.a.2951","","Novel ; Young adult fiction","English","Manga format; reads from back to front, right to left ; Translated from the Japanese"
"029","","person","illustrator","Mishima, Kurone, 1991-, illustrator [person] ; Gifford, Kevin, translator [person] ; 029, illustrator [person] ; Blakeslee, Brndn, illustrator [person] ; Wagahara, Satoshi, author [person]","018003156","Monograph","Language material ; Text","Online resource","GBB7F4211","9780316398077","The devil is a part-timer!. 5. High school!","Hataraku maoussama! High school!. English","","","","","","2016","","1 online resource (256 pages)","741.5952","ELD.DS.85953","High school students--Comic books, strips, etc ; Graphic novels--Japan ; Demonology ; Demonology--Comic books, strips, etc ; Comic books, strips, etc--Japan--Translations into English","Comic or graphic novel ; Novel ; Translations into English","English",""
"100 British Cartoonists of the Century (Exhibition), British Cartoon Centre, the Centre for the Study of Cartoons, Caricature","2000","meeting/conference","","Cartoon Art Trust [organisation] ; 100 British Cartoonists of the Century (Exhibition), British Cartoon Centre, the Centre for the Study of Cartoons, Caricature, 2000 [meeting/conference]","010123153","Monograph","Language material ; Text","Volume","GBA204243","9780953726318","The 100 British cartoonists of the century","","","","England","London","Beer Davies","2000","","108 pages, illustrations some colour, portraits some colour, 20 cm","741.5092241","YK.2002.a.449","Cartoonists--Great Britain--Exhibitions ; English wit and humor, Pictorial--Exhibitions","Exhibition","English","Catalogue of the exhibition at the British Cartoon Centre 26 February-12 April 2000 and at the Centre for the Study of Cartoons and Caricature 19 April-31 May 2000 ; Includes index ; Published in association with the Cartoon Art Trust"
"45726","","person","cartoonist","45726, cartoonist [person] ; Walmsley, Ian [person]","015486306","Monograph","Language material ; Text","Volume","GBB108256","9780955235443","Private lines : the collection","","","","England","Holmes Chapel","Ty Mawr Publications","2009","","96 pages, illustrations (some colour), 18 x 24 cm","741.5356","LC.31.a.9172","Railroads--Privatization--Great Britain--Caricatures and cartoons","Caricature or cartoon","English","'Foreword by Roger Ford'--Cover"
"5pb","","person","author","Sarachi, Yomi, artist [person] ; 5pb, author [person] ; Nitroplus, author [person]","017381699","Monograph","Language material ; Text","Volume","GBB570916","9781927925508","Steins;gate. Volume 1","","","","Canada","Richmond Hill","Udon Entertainment","2015","English edition","1 volume (unpaged), chiefly colour illustrations, 18 cm","741.5","","","Science fiction","English","Translated from the Japanese"
"5pb","","person","author","Sarachi, Yomi, artist [person] ; 5pb, author [person] ; Nitroplus, author [person]","017533820","Monograph","Language material ; Still image ; Text","Volume","GBB5C1618","9781927925553","Steins;Gate. Volume 2","","","","Canada","Richmond Hill","Udon Entertainment","2015","","1 volume (unpaged), chiefly colour illustrations, 18 cm","741.5","","","Science fiction","English","Translated from the Japanese"
"5pb, Inc. (Firm)","","organisation","author","Sarachi, Yomi, artist [person] ; Nitroplus (Firm), author [organisation] ; 5pb, Inc. (Firm), author [organisation]","017745202","Monograph","Language material ; Still image ; Text","Volume","GBB624577","9781927925713","Steins;Gate. Volume 3","","","","Canada","Richmond Hill","Udon Entertainment","2016","","1 volume (unpaged), chiefly colour illustrations, 18 cm","741.5","","","Science fiction","English","Translated from the Japanese"
"8fish","","organisation","","8fish [organisation]","014621792","Monograph","Language material ; Text","Volume","GBA868997","9781600610493","Making faces : drawing expressions for comics and cartoons","","","","United States of America","Cincinnati, Ohio ; Newton Abbot","David & Charles ; Impact","2008","1st edition","175 pages, illustrations (some colour), 28 cm","741.51","YK.2009.b.2858","Drawing--Technique ; Comic books, strips, etc--Technique ; Facial expression in art","","English","Includes index"
"8fish","","organisation","author","Hamernik, Harry, 1973-, author [person] ; 8fish, author [organisation]","016628252","Monograph","Language material ; Still image ; Text","Volume","GBB417386","9781440336164","Drawing cartoon faces","","","","United States of America","Cincinnati ; Newyon Abbot","F & W Media International ; Impact","2014","","208 pages, illustrations (black and white and colour), 28 cm","741.5","","Drawing--Technique ; Cartooning--Technique ; Face--Caricatures and cartoons","","English","Includes index"
"9colorstudio (Artists' collective)","","organisation","author","9colorstudio (Artists' collective), author [organisation]","016444104","Monograph","Language material ; Still image ; Text","Volume","GBB357712","9781615644155","Drawing manga","","Idiot's guides","","United States of America","Indianapolis, Indiana","Alpha","2013","","volumes, 217 pages, illustrations, 24 cm","741.5","YK.2013.a.22950","Human beings--Caricatures and cartoons ; Comic books, strips, etc--Technique ; Cartooning--Japan--Technique","Caricature or cartoon","English",""
